method,instruction_type,n,mean,ci_lo,ci_hi,ci_half
SFT_NoInstruct,neutral,300,0.10421315344050526,0.09610476585221599,0.1137345908036301,0.008814912475707058
SFT_NoInstruct,conservative,300,0.10699799025431275,0.09821150129953522,0.11685896153710214,0.009323730118783458
SFT_NoInstruct,liberal,300,0.11121103140215079,0.10260913857521395,0.12103125406067376,0.009211057742729907
SFT_NoInstruct,regulatory_aware,300,0.10963576944544912,0.10082392599348089,0.12027176207275295,0.009723918039636029
SFT_NoInstruct,empathetic,300,0.11210781099585196,0.10304843837541006,0.12237959362949369,0.009665577627041816
SFT_NoInstruct,safety_first,300,0.11657173601600031,0.10692340618847418,0.1275052469747752,0.010290920393150507
SFT_NoInstruct,educational,300,0.10906505379204949,0.10040416335536448,0.11929166334612465,0.009443749995380085
SFT_NoInstruct,concise,300,0.11552678228666385,0.10595748013787033,0.12657833599845342,0.010310427930291542
SFT_NoInstruct,professional,300,0.11373527315134803,0.1047413980169915,0.1234156785936262,0.00933714028831735
SFT_NoInstruct,creative,300,0.10747066046732168,0.09891513026019849,0.11772472296713436,0.009404796353467935
SFT_Instruct,neutral,300,0.10882175641755264,0.10223503410533719,0.11679720460404117,0.00728108524935199
SFT_Instruct,conservative,300,0.12569831972320875,0.11687610008720145,0.13535990775974205,0.009241903836270299
SFT_Instruct,liberal,300,0.12692619130015373,0.11752058388945369,0.13713108999279205,0.009805253051669183
SFT_Instruct,regulatory_aware,300,0.14076038528854648,0.13111109664798914,0.15091703560100586,0.009902969476508358
SFT_Instruct,empathetic,300,0.1335129451689621,0.12399860004530115,0.143724834008229,0.009863116981463922
SFT_Instruct,safety_first,300,0.12292348265027006,0.11465150518659739,0.1328058332845166,0.009077164048959599
SFT_Instruct,educational,300,0.1204764371116956,0.11213460560850028,0.13059177125728377,0.009228582824391748
SFT_Instruct,concise,300,0.11367631837104758,0.10546055415807107,0.12351585428614767,0.0090276500640383
SFT_Instruct,professional,300,0.11432318308080236,0.10621252748431778,0.12353445518314916,0.008660963849415691
SFT_Instruct,creative,300,0.134126956127584,0.12493211520982822,0.14412595039734571,0.009596917593758747
DPO_NoInstruct,neutral,300,0.21098346258203188,0.19205727755461532,0.2331595522416095,0.02055113734349709
DPO_NoInstruct,conservative,300,0.199841323706011,0.18353937250335542,0.21958666792328382,0.018023647709964202
DPO_NoInstruct,liberal,300,0.20777303483337164,0.18991817819794876,0.22915482771646034,0.01961832475925579
DPO_NoInstruct,regulatory_aware,300,0.1860355871791641,0.17100236746570657,0.20443489005172544,0.016716261293009432
DPO_NoInstruct,empathetic,300,0.1998318317035834,0.18180029342601908,0.2218039611524975,0.020001833863239213
DPO_NoInstruct,safety_first,300,0.2168507946282625,0.197904566049323,0.23939164367723287,0.020743538813954937
DPO_NoInstruct,educational,300,0.19180870544165374,0.17512701837874287,0.21249001356754185,0.018681497594399493
DPO_NoInstruct,concise,300,0.20347987860441208,0.1862728184707805,0.22332841215909677,0.01852779684415813
DPO_NoInstruct,professional,300,0.21216518404583137,0.19292424807159914,0.2354234556015578,0.021249603764979336
DPO_NoInstruct,creative,300,0.19528886172920465,0.1786075403447266,0.21506173929715613,0.018227099476214773
DPO_Instruct,neutral,300,0.36021510702868303,0.33941312037859694,0.3820538753708148,0.021320377496108933
DPO_Instruct,conservative,300,0.4178413400053978,0.396053097525638,0.44095070630098043,0.022448804387671217
DPO_Instruct,liberal,300,0.372517664556702,0.35183578243380814,0.39452937163960095,0.021346794602896402
DPO_Instruct,regulatory_aware,300,0.3469531179467837,0.3269607248648816,0.36859322325127375,0.02081624919319608
DPO_Instruct,empathetic,300,0.4285276353855928,0.40722724249887277,0.4502390881106838,0.02150592280590552
DPO_Instruct,safety_first,300,0.4107819462567568,0.388517883490585,0.432935146515465,0.022208631512439986
DPO_Instruct,educational,300,0.40676042082409064,0.38443718684489103,0.4303677145165622,0.02296526383583558
DPO_Instruct,concise,300,0.334057052358985,0.3160089894745536,0.3542808242825475,0.01913591740399695
DPO_Instruct,professional,300,0.4222676331798236,0.399013637545405,0.44601948261712493,0.023502922535859977
DPO_Instruct,creative,300,0.39500003203749656,0.37248993532284286,0.4182532175168521,0.022881641097004635
PPO_NoInstruct,neutral,300,0.21510801425824563,0.19745580976888433,0.2360684166514385,0.01930630344127708
PPO_NoInstruct,conservative,300,0.2358227023606499,0.2152584352719208,0.25961348730169537,0.02217752601488729
PPO_NoInstruct,liberal,300,0.22205993959059317,0.20366572819038858,0.24455250028739506,0.020443386048503237
PPO_NoInstruct,regulatory_aware,300,0.2262027169018984,0.2081932066550513,0.24789710589600605,0.01985194962047737
PPO_NoInstruct,empathetic,300,0.22995420690625906,0.2114485018152364,0.2525721322473653,0.020561815216064455
PPO_NoInstruct,safety_first,300,0.23891432970762252,0.21980546020585132,0.2613602635433635,0.020777401668756093
PPO_NoInstruct,educational,300,0.21989397577320535,0.20107372611250082,0.24102097648780857,0.019973625187653873
PPO_NoInstruct,concise,300,0.21037547537436088,0.19381405599011114,0.23032009878298654,0.018253021396437696
PPO_NoInstruct,professional,300,0.22800407747427623,0.20994689710155331,0.2493761177237545,0.019714610311100597
PPO_NoInstruct,creative,300,0.2538067523762584,0.23250704652117415,0.27920383464956144,0.023348394064193645
PPO_Instruct,neutral,300,0.3606360581268867,0.34108879745145315,0.38211655213620854,0.020513877342377695
PPO_Instruct,conservative,300,0.4034944101671378,0.38133173205246196,0.4259427870122908,0.022305527479914433
PPO_Instruct,liberal,300,0.37434891966482003,0.3522678028724754,0.39692945260594137,0.02233082486673299
PPO_Instruct,regulatory_aware,300,0.3591142204403877,0.33879934273815965,0.3805747385807416,0.02088769792129097
PPO_Instruct,empathetic,300,0.4059593039005995,0.3845523345437443,0.4277979426348691,0.021622804045562383
PPO_Instruct,safety_first,300,0.36452082281311354,0.3434045059050131,0.3860015628582803,0.021298528476633605
PPO_Instruct,educational,300,0.36268331957360106,0.3407826610522665,0.38484700113048365,0.022032170039108567
PPO_Instruct,concise,300,0.34037785141418375,0.32064570935466774,0.3623639287557806,0.020859109700556433
PPO_Instruct,professional,300,0.42120395546158157,0.3981626985502791,0.44517170447622334,0.02350450296297213
PPO_Instruct,creative,300,0.3814045845220486,0.36131479315744774,0.40316603086190167,0.020925618852226963
GRPO_NoInstruct,neutral,300,0.21968110845734676,0.202236994625917,0.23981651740779922,0.018789761390941115
GRPO_NoInstruct,conservative,300,0.2148524730404218,0.19814896284306988,0.23510155571381514,0.01847629643537263
GRPO_NoInstruct,liberal,300,0.23266201802839837,0.21315120070332147,0.2542435491991195,0.02054617424789902
GRPO_NoInstruct,regulatory_aware,300,0.232813764475286,0.2139415768395918,0.2552473672250283,0.020652895192718235
