method,instruction_type,n,mean,ci_lo,ci_hi,ci_half
SFT_NoInstruct,neutral,300,0.5522327281037966,0.546780454796663,0.5577952371840892,0.005507391193713074
SFT_NoInstruct,conservative,300,0.5686648604273796,0.5631714500710956,0.5741142970101643,0.005471423469534331
SFT_NoInstruct,liberal,300,0.5585649610559146,0.5528001545690309,0.5644553107706036,0.005827578100786379
SFT_NoInstruct,regulatory_aware,300,0.5840811225771904,0.5783635966628576,0.5900250965776396,0.005830749957390968
SFT_NoInstruct,empathetic,300,0.5375265817840894,0.5318656152276465,0.5434651710190247,0.005799777895689084
SFT_NoInstruct,safety_first,300,0.5760146197676659,0.5699934259478577,0.5820635108472048,0.006035042449673511
SFT_NoInstruct,educational,300,0.5228037850062053,0.5181986132796567,0.5278792892704773,0.004840337995410338
SFT_NoInstruct,concise,300,0.5410015528400739,0.5368463234547431,0.5453922438158902,0.004272960180573548
SFT_NoInstruct,professional,300,0.5351246154308319,0.530220710975914,0.539970510663545,0.0048748998438155056
SFT_NoInstruct,creative,300,0.5214824082454046,0.5164674620543593,0.5265734778604996,0.005053007903070117
SFT_Instruct,neutral,300,0.5474175130327542,0.5420641381127388,0.5530680647799529,0.0055019633336070295
SFT_Instruct,conservative,300,0.5686074543992679,0.5633748516757248,0.5738982137828311,0.00526168105355318
SFT_Instruct,liberal,300,0.5622223452727,0.5564496510753043,0.5682041137031856,0.005877231313940634
SFT_Instruct,regulatory_aware,300,0.6007458877563476,0.594875331814324,0.6068145625438087,0.005969615364742387
SFT_Instruct,empathetic,300,0.5447445877393087,0.5395491814559361,0.5501284359246299,0.005289627234346894
SFT_Instruct,safety_first,300,0.5941530461112658,0.5877374943743305,0.6004800349496618,0.0063712702876656535
SFT_Instruct,educational,300,0.5210915062824885,0.5161889260846251,0.5265844594165087,0.005197766665941794
SFT_Instruct,concise,300,0.5436447873711586,0.5396041096657557,0.5477892478283066,0.004092569081275477
SFT_Instruct,professional,300,0.5394948557019233,0.5347475029970774,0.54467386483814,0.004963180920531274
SFT_Instruct,creative,300,0.5189867556095124,0.5145519226773272,0.5235507358909657,0.004499406606819245
DPO_NoInstruct,neutral,300,0.5564678920308749,0.5514089616930419,0.5616697615742894,0.005130399940623753
DPO_NoInstruct,conservative,300,0.5658858119448026,0.5610159383074219,0.5707595389046256,0.004871800298601847
DPO_NoInstruct,liberal,300,0.5574050090710322,0.5523464644369676,0.5627061875918186,0.005179861577425504
DPO_NoInstruct,regulatory_aware,300,0.5670369917154312,0.5617109781934716,0.5725914334845714,0.005440227645549911
